movie_genre_id,genre_id,movie_id
1,1,1
2,2,2
3,3,3
4,1,4
5,2,5
6,3,6
7,1,7
8,2,8
9,3,9
10,1,10
11,2,11
12,3,12
13,1,13
14,2,14
15,3,15
16,1,16
17,2,17
18,3,18
19,1,19
20,2,20
21,3,21
22,1,22
23,2,23
24,3,24
25,1,25
26,2,26
27,3,27
28,1,28
29,2,29
30,3,30
31,1,31
32,2,32
33,3,33
34,1,34
35,2,35
36,3,36
37,1,37
38,2,38
39,3,39
40,1,40
41,2,41
42,3,42
43,1,43
44,2,44
45,3,45
46,1,46
47,2,47
48,3,48
49,1,49
50,2,50
51,3,51
52,1,52
53,2,53
54,3,54
55,1,55
56,2,56
57,3,57
58,1,58
59,2,59
60,3,60
61,1,61
62,2,62
63,3,63
64,1,64
65,2,65
66,3,66
67,1,67
68,2,68
69,3,69
70,1,70
71,2,71
72,3,72
73,1,73
74,2,74
75,3,75
76,1,76
77,2,77
78,3,78
79,1,79
80,2,80
81,3,81
82,1,82
83,2,83
84,3,84
85,1,85
86,2,86
87,3,87
88,1,88
89,2,89
90,3,90
91,1,91
92,2,92
93,3,93
94,1,94
95,2,95
96,3,96
97,2,1
98,3,2
99,1,3
100,2,4
